symbol,date,price
SU Plan Documents,May 2011,22
SU Plan Documents,Jun 2011,22
SU Plan Documents,Jul 2011,0
SU Plan Documents,Aug 2011,30
SU Plan Documents,Sep 2011,33
SU Plan Documents,Oct 2011,64
SU Plan Documents,Nov 2011,39
SU Plan Documents,Dec 2011,0
SU ER Claim Status,Jan 2008,0
SU ER Claim Status,Feb 2008,9
SU ER Claim Status,Mar 2008,6
SU ER Claim Status,Apr 2008,4
SU ER Claim Status,May 2008,0
SU ER Claim Status,Jun 2008,0
SU ER Claim Status,Jul 2008,0
SU ER Claim Status,Aug 2008,0
SU ER Claim Status,Sep 2008,0
SU ER Claim Status,Oct 2008,0
SU ER Claim Status,Nov 2008,0
SU ER Claim Status,Dec 2008,0
SU ER Claim Status,Jan 2009,0
SU ER Claim Status,Feb 2009,9
SU ER Claim Status,Mar 2009,0
SU ER Claim Status,Apr 2009,7
SU ER Claim Status,May 2009,16
SU ER Claim Status,Jun 2009,11
SU ER Claim Status,Jul 2009,0
SU ER Claim Status,Aug 2009,0
SU ER Claim Status,Sep 2009,19
SU ER Claim Status,Oct 2009,0
SU ER Claim Status,Nov 2009,0
SU ER Claim Status,Dec 2009,11
SU ER Claim Status,Jan 2010,0
SU ER Claim Status,Feb 2010,0
SU ER Claim Status,Mar 2010,9
SU ER Claim Status,Apr 2010,50
SU ER Claim Status,May 2010,9
SU ER Claim Status,Jun 2010,13
SU ER Claim Status,Jul 2010,11
SU ER Claim Status,Aug 2010,11
SU ER Claim Status,Sep 2010,21
SU ER Claim Status,Oct 2010,0
SU ER Claim Status,Nov 2010,14
SU ER Claim Status,Dec 2010,9
SU ER Claim Status,Jan 2011,18
SU ER Claim Status,Feb 2011,31
SU ER Claim Status,Mar 2011,38
SU ER Claim Status,Apr 2011,33
SU ER Claim Status,May 2011,85
SU ER Claim Status,Jun 2011,26
SU ER Claim Status,Jul 2011,98
SU ER Claim Status,Aug 2011,42
SU ER Claim Status,Sep 2011,116
SU ER Claim Status,Oct 2011,134
SU ER Claim Status,Nov 2011,89
IIP App Status,Jan 2008,259
IIP App Status,Feb 2008,255
IIP App Status,Mar 2008,223
IIP App Status,Apr 2008,174
IIP App Status,May 2008,182
IIP App Status,Jun 2008,147
IIP App Status,Jul 2008,202
IIP App Status,Aug 2008,113
IIP App Status,Sep 2008,158
IIP App Status,Oct 2008,99
IIP App Status,Nov 2008,77
IIP App Status,Dec 2008,60
IIP App Status,Jan 2009,222
IIP App Status,Feb 2009,414
IIP App Status,Mar 2009,108
IIP App Status,Apr 2009,67
IIP App Status,May 2009,25
IIP App Status,Jun 2009,52
IIP App Status,Jul 2009,43
IIP App Status,Aug 2009,63
IIP App Status,Sep 2009,47
IIP App Status,Oct 2009,61
IIP App Status,Nov 2009,211
IIP App Status,Dec 2009,106
IIP App Status,Jan 2010,57
IIP App Status,Feb 2010,58
IIP App Status,Mar 2010,57
IIP App Status,Apr 2010,98
IIP App Status,May 2010,10
IIP App Status,Jun 2010,49
IIP App Status,Jul 2010,0
IIP App Status,Aug 2010,0
IIP App Status,Sep 2010,23
IIP App Status,Oct 2010,12
IIP App Status,Nov 2010,30
IIP App Status,Dec 2010,21
IIP App Status,Jan 2011,160
IIP App Status,Feb 2011,84
IIP App Status,Mar 2011,99
IIP App Status,Apr 2011,56
IIP App Status,May 2011,75
IIP App Status,Jun 2011,137
IIP App Status,Jul 2011,88
IIP App Status,Aug 2011,123
IIP App Status,Sep 2011,150
IIP App Status,Oct 2011,212
IIP App Status,Nov 2011,145
IIP App Status,Dec 2011,19
E-Statements,Jan 2008,0
E-Statements,Feb 2008,0
E-Statements,Mar 2008,0
E-Statements,Apr 2008,0
E-Statements,May 2008,0
E-Statements,Jun 2008,101
E-Statements,Jul 2008,167
E-Statements,Aug 2008,137
E-Statements,Sep 2008,366
E-Statements,Oct 2008,109
E-Statements,Nov 2008,205
E-Statements,Dec 2008,101
E-Statements,Jan 2009,86
E-Statements,Feb 2009,62
E-Statements,Mar 2009,68
E-Statements,Apr 2009,30
E-Statements,May 2009,37
E-Statements,Jun 2009,59
E-Statements,Jul 2009,83
E-Statements,Aug 2009,93
E-Statements,Sep 2009,120
E-Statements,Oct 2009,112
E-Statements,Nov 2009,544
E-Statements,Dec 2009,105
E-Statements,Jan 2010,108
E-Statements,Feb 2010,107
E-Statements,Mar 2010,39
E-Statements,Apr 2010,64
E-Statements,May 2010,4221
E-Statements,Jun 2010,83
E-Statements,Jul 2010,56
E-Statements,Aug 2010,56
E-Statements,Sep 2010,60
E-Statements,Oct 2010,54
E-Statements,Nov 2010,93
E-Statements,Dec 2010,365
E-Statements,Jan 2011,3322
E-Statements,Feb 2011,430
E-Statements,Mar 2011,392
E-Statements,Apr 2011,261
E-Statements,May 2011,446
E-Statements,Jun 2011,502
E-Statements,Jul 2011,392
E-Statements,Aug 2011,466
E-Statements,Sep 2011,570
E-Statements,Oct 2011,763
E-Statements,Nov 2011,378
E-Statements,Dec 2011,207
SPR Forms Wizard,Jan 2008,0
SPR Forms Wizard,Feb 2008,0
SPR Forms Wizard,Mar 2008,0
SPR Forms Wizard,Apr 2008,0
SPR Forms Wizard,May 2008,0
SPR Forms Wizard,Jun 2008,0
SPR Forms Wizard,Jul 2008,14
SPR Forms Wizard,Aug 2008,0
SPR Forms Wizard,Sep 2008,0
SPR Forms Wizard,Oct 2008,0
SPR Forms Wizard,Nov 2008,0
SPR Forms Wizard,Dec 2008,0
SPR Forms Wizard,Jan 2009,0
SPR Forms Wizard,Feb 2009,0
SPR Forms Wizard,Mar 2009,0
SPR Forms Wizard,Apr 2009,0
SPR Forms Wizard,May 2009,0
SPR Forms Wizard,Jun 2009,0
SPR Forms Wizard,Jul 2009,0
SPR Forms Wizard,Aug 2009,0
SPR Forms Wizard,Sep 2009,0
SPR Forms Wizard,Oct 2009,0
SPR Forms Wizard,Nov 2009,0
SPR Forms Wizard,Dec 2009,0
SPR Forms Wizard,Jan 2010,0
SPR Forms Wizard,Feb 2010,0
SPR Forms Wizard,Mar 2010,0
SPR Forms Wizard,Apr 2010,0
SPR Forms Wizard,May 2010,0
SPR Forms Wizard,Jun 2010,0
SPR Forms Wizard,Jul 2010,0
SPR Forms Wizard,Aug 2010,0
SPR Forms Wizard,Sep 2010,0
SPR Forms Wizard,Oct 2010,0
SPR Forms Wizard,Nov 2010,0
SPR Forms Wizard,Dec 2010,0
SPR Forms Wizard,Jan 2011,0
SPR Forms Wizard,Feb 2011,0
SPR Forms Wizard,Mar 2011,0
SPR Forms Wizard,Apr 2011,0
SPR Forms Wizard,May 2011,0
SPR Forms Wizard,Jun 2011,0
SPR Forms Wizard,Jul 2011,0
SPR Forms Wizard,Aug 2011,0
SPR Forms Wizard,Sep 2011,0
SPR Forms Wizard,Oct 2011,0
SPR Forms Wizard,Nov 2011,0
SPR Forms Wizard,Dec 2011,0
